space_name,space_id,area(m²),py(평),height(m),Volume,vox_amount,sun_acc,ent_acc,str_acc,ung_pre,dist_façade,top_pre,Lobby,Branding Space,External Contact,Interview Room,Personal Workspace,Work Support Area,Personal Locker Room,Executive Space,VIP Reception,Secretary Room,Pantry,Executive Meeting,Executive Offices,Focus Rooms,Project Rooms,Conference Rooms,4-Person Meeting,6-Person Meeting,8-Person Meeting,12-Person Meeting,18-Person Meeting,Idea Room,Mail Room,Oasis,PT Practice Room,Screening Room,Studio,Video Editing,Plotter/Board Room,Training Room,Ino Kitchen,Kitchen,Ino Cafe,Fitness Facilities,Dressing/Shower,Counseling Room,Personal Rest Room,Sleeping Room,Nursing Room,Work Lounge,Town Hall,Seminar Room,Library,Social Space,Outdoor Terrace,Driver's Waiting,Server Room,Cleaning Staff Room,Security Staff Room,Security Office,Facility Team Room
Lobby,0,300.0,90.90909090909092,5.0,1500.0,500.0,0.2,0.9,0.9,0.1,0.5,0.1,1.0,0.9,1.0,0.7,0.7,0.1,0.1,0.3,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.7,0.3,0.1,0.1,0.1,0.1,0.5,0.8,0.1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Branding Space,1,150.0,45.45454545454546,5.0,750.0,250.0,0.3,0.9,0.8,0.2,0.2,0.1,0.9,1.0,0.1,1.0,0.3,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.9,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.6,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
External Contact,2,250.0,75.75757575757576,4.0,1000.0,333.3333333333333,0.2,0.9,0.6,0.2,0.2,0.1,1.0,0.1,1.0,0.3,1.0,0.1,0.1,0.3,0.5,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.3,0.3,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Interview Room,3,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.8,0.5,0.2,0.2,0.4,0.7,1.0,0.3,1.0,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.4,0.7,0.8,0.7,0.7,0.5,0.5,0.6,0.3,0.5,0.6,0.1,0.3,0.1,0.6,0.1,0.3,0.1,0.9,0.3,0.3,0.3,0.6,0.3,0.1,0.7,0.3,0.4,0.6,0.5,0.1,0.1,0.3,0.3,0.3,0.3
Personal Workspace,4,5000.0,1515.1515151515152,3.0,15000.0,5000.0,0.5,0.5,0.5,0.1,0.3,0.4,0.7,0.3,1.0,0.1,1.0,1.0,1.0,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.5,0.7,0.8,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.8,0.1,0.3,0.1,0.6,0.8,0.6,0.1,0.9,0.8,0.3,0.3,0.7,0.5,0.3,0.7,0.3,0.4,0.6,0.6,0.2,0.1,0.1,0.8,0.3,0.3,0.3
Work Support Area,5,300.0,90.90909090909092,3.0,900.0,300.0,0.3,0.2,0.3,0.1,0.5,0.4,0.1,0.1,0.1,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.1,0.1,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.8,0.1,0.3,0.1,0.1,0.8,0.6,0.1,0.1,0.8,0.1,0.1,0.7,0.5,0.5,0.6,0.3,0.6,0.4,0.6,0.2,0.1,0.1,0.8,0.3,0.3,0.3,0.3
Personal Locker Room,6,100.0,30.303030303030305,3.0,300.0,100.0,0.1,0.2,0.5,0.1,0.9,0.4,0.1,0.1,0.1,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.1,0.3,0.2,0.2,0.2,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.1,0.6,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Executive Space,7,50.0,15.151515151515152,3.0,150.0,50.0,0.5,0.2,0.2,0.1,0.5,0.8,0.3,0.1,0.3,1.0,0.5,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
VIP Reception,8,40.0,12.121212121212121,3.0,120.0,40.0,0.5,0.5,0.2,0.1,0.6,0.5,0.6,0.6,0.5,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Secretary Room,9,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.1,0.2,0.1,0.8,0.5,0.6,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.1,1.0,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Pantry,10,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.1,0.2,0.1,0.9,0.4,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.1,1.0,0.1,1.0,0.8,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Executive Meeting,11,60.0,18.181818181818183,3.0,180.0,60.0,0.6,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,0.6,1.0,0.1,1.0,0.8,1.0,0.1,0.3,0.1,0.2,0.4,0.5,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Executive Offices,12,500.0,151.51515151515153,3.0,1500.0,500.0,0.5,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.3,1.0,0.6,0.6,0.8,1.0,0.8,1.0,0.1,1.0,0.3,0.2,0.4,0.5,0.6,0.1,0.1,0.5,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Focus Rooms,13,100.0,30.303030303030305,3.0,300.0,100.0,0.3,0.1,0.2,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.7,0.5,0.5,0.6,0.8,0.8,0.8,1.0,0.1,1.0,0.3,1.0,0.3,0.3,0.3,0.3,0.1,0.5,0.5,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Project Rooms,14,200.0,60.60606060606061,3.0,600.0,200.0,0.3,0.1,0.2,0.1,0.2,0.4,0.1,0.1,0.3,0.7,0.5,0.5,0.4,0.1,0.1,0.1,0.1,0.1,1.0,0.3,1.0,0.3,1.0,0.3,0.3,0.3,1.0,1.0,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Conference Rooms,15,100.0,30.303030303030305,3.0,300.0,100.0,0.3,0.1,0.2,0.1,0.2,0.5,0.7,0.3,0.3,0.4,0.7,0.6,0.1,0.3,0.1,0.1,0.1,0.3,0.3,1.0,0.3,1.0,0.3,1.0,0.6,1.0,1.0,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
4-Person Meeting,16,8.4,2.545454545454546,3.0,25.200000000000003,8.4,0.3,0.1,0.2,0.1,0.2,0.5,0.3,0.3,0.1,0.7,0.8,0.6,0.3,0.2,0.1,0.1,0.3,0.1,0.2,0.3,1.0,0.3,1.0,0.6,1.0,0.6,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
6-Person Meeting,17,15.0,4.545454545454546,3.0,45.0,15.0,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.8,0.7,0.6,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.3,0.3,1.0,0.6,1.0,0.6,1.0,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
8-Person Meeting,18,20.0,6.0606060606060606,3.0,60.0,20.0,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.7,0.7,0.6,0.2,0.2,0.1,0.1,0.1,0.4,0.5,0.3,0.3,0.6,1.0,0.6,1.0,0.6,1.0,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
12-Person Meeting,19,30.0,9.090909090909092,3.0,90.0,30.0,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.7,0.6,0.5,0.2,0.2,0.1,0.1,0.1,0.5,0.6,0.3,0.3,1.0,0.6,1.0,0.6,1.0,0.5,1.0,0.2,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
18-Person Meeting,20,45.0,13.636363636363637,3.0,135.0,45.0,0.3,0.1,0.2,0.1,0.2,0.5,0.1,0.1,0.1,0.5,0.5,0.5,0.2,0.1,0.2,0.2,0.2,0.6,0.1,0.1,1.0,1.0,0.4,0.6,1.0,0.5,1.0,0.2,1.0,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Idea Room,21,50.0,15.151515151515152,3.0,150.0,50.0,0.1,0.1,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.2,0.2,0.2,0.3,0.1,0.1,0.5,1.0,0.3,0.3,0.4,0.5,1.0,0.2,1.0,0.1,1.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Mail Room,22,10.0,3.0303030303030303,3.0,30.0,10.0,0.1,0.1,0.2,0.1,0.2,0.2,0.8,0.5,0.5,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,1.0,0.1,1.0,0.5,1.0,0.3,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.5,0.3,0.3,0.3
Oasis,23,50.0,15.151515151515152,3.0,150.0,50.0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.3,0.5,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.5,1.0,0.3,1.0,0.6,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.5,0.3,0.3,0.3,0.3
PT Practice Room,24,20.0,6.0606060606060606,3.0,60.0,20.0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.5,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,1.0,0.3,1.0,0.6,1.0,0.1,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Screening Room,25,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.1,0.2,0.1,0.2,0.2,0.8,0.9,0.7,0.6,0.1,0.3,0.1,0.1,0.6,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.3,1.0,0.6,1.0,0.1,1.0,0.8,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Studio,26,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.1,0.2,0.1,0.6,0.2,0.9,0.7,0.1,0.1,0.3,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,1.0,0.1,1.0,0.8,1.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Video Editing,27,40.0,12.121212121212121,3.0,120.0,40.0,0.2,0.1,0.2,0.1,0.6,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.1,1.0,0.8,1.0,0.5,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Plotter/Board Room,28,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.1,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.6,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.8,1.0,0.5,1.0,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Training Room,29,60.0,18.181818181818183,3.0,180.0,60.0,0.2,0.1,0.2,0.1,0.9,0.2,0.1,0.1,0.1,0.6,0.8,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.6,0.5,1.0,0.1,1.0,0.1,1.0,1.0,0.5,0.4,0.2,0.4,0.8,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3
Ino Kitchen,30,100.0,30.303030303030305,3.0,300.0,100.0,0.3,0.1,0.2,0.9,0.4,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,1.0,0.5,0.3,0.4,0.8,0.5,0.1,0.3,0.3,0.3,0.1,0.5,0.1,0.3,0.1,0.3,0.3,0.3,0.3
Kitchen,31,300.0,90.90909090909092,3.0,900.0,300.0,0.2,0.2,0.5,0.8,0.4,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.5,1.0,0.1,0.5,0.6,0.3,0.1,0.3,0.6,0.5,0.5,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Ino Cafe,32,100.0,30.303030303030305,3.5,350.0,116.66666666666667,0.8,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,0.5,1.0,0.1,1.0,1.0,0.4,0.6,0.3,0.6,0.5,0.3,0.3,0.8,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Fitness Facilities,33,150.0,45.45454545454546,3.0,450.0,150.0,0.8,0.2,0.2,0.9,0.6,0.1,0.1,0.1,0.1,0.9,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.6,0.9,0.8,0.1,0.1,0.1,0.8,0.1,0.6,0.1,0.1,0.3,0.3,0.3,0.3
Dressing/Shower,34,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.2,0.2,0.9,0.9,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.1,1.0,1.0,1.0,0.6,1.0,0.8,0.1,0.7,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Counseling Room,35,20.0,6.0606060606060606,3.0,60.0,20.0,0.5,0.2,0.2,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,1.0,1.0,0.6,1.0,0.3,1.0,0.7,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Personal Rest Room,36,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.7,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.8,0.6,0.4,0.6,1.0,0.3,1.0,0.6,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Sleeping Room,37,40.0,12.121212121212121,3.0,120.0,40.0,0.2,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.1,0.6,0.5,0.5,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.3,0.6,0.9,0.8,1.0,0.6,1.0,0.1,1.0,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Nursing Room,38,20.0,6.0606060606060606,3.0,60.0,20.0,0.4,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.8,0.1,0.7,1.0,0.1,1.0,0.1,1.0,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Work Lounge,39,300.0,90.90909090909092,3.0,900.0,300.0,0.3,0.1,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.1,0.7,0.9,0.1,1.0,0.1,1.0,0.1,1.0,0.7,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Town Hall,40,200.0,60.60606060606061,3.0,600.0,200.0,0.3,0.1,0.1,0.1,0.2,0.4,0.7,0.7,0.1,0.7,0.3,0.6,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.7,1.0,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Seminar Room,41,200.0,60.60606060606061,3.0,600.0,200.0,0.3,0.1,0.1,0.1,0.1,0.3,0.7,0.1,0.1,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.7,1.0,0.6,1.0,0.6,0.1,0.1,0.3,0.3,0.3,0.1
Library,42,100.0,30.303030303030305,3.0,300.0,100.0,0.5,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.8,0.1,0.1,0.1,0.1,0.5,0.7,1.0,0.6,1.0,0.6,1.0,0.9,0.1,0.3,0.3,0.1,0.1
Social Space,43,150.0,45.45454545454546,3.0,450.0,150.0,0.6,0.2,0.1,0.1,0.1,0.2,0.6,0.1,0.1,0.6,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.8,0.1,0.6,0.1,0.1,0.3,0.6,0.6,0.6,1.0,0.6,1.0,0.9,1.0,0.1,0.3,0.3,0.1,0.1
Outdoor Terrace,44,100.0,30.303030303030305,3.0,300.0,100.0,1.0,0.2,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,1.0,0.9,1.0,0.1,1.0,0.3,0.8,0.1,0.1
Driver's Waiting,45,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.3,1.0,0.5,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,1.0,0.1,1.0,0.1,1.0,0.1,0.8,0.8
Server Room,46,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.2,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,1.0,0.8,0.8
Cleaning Staff Room,47,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.2,0.1,0.8,0.5,0.1,0.3,0.3,0.3,0.3,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.1,1.0,0.1,1.0,1.0
Security Staff Room,48,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.1,0.1,0.8,0.5,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.1,1.0,0.1,1.0,1.0,1.0
Security Office,49,40.0,12.121212121212121,3.0,120.0,40.0,0.2,0.1,0.1,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.8,0.8,1.0,1.0,1.0,1.0
Facility Team Room,50,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.1,0.1,0.8,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.8,0.8,1.0,1.0,1.0,1.0
